word;weight;number_of_words
abadi;5;1
absen;-3;1
abu-abu;-1;1
acuh;4;1
adil;5;1
aduh;-2;1
agresi;-5;1
aib;-5;1
ajaib;3;1
ajar;4;1
akal;4;1
alasan;-2;1
alibi;-4;1
alien;-1;1
aman;4;1
ambigu;-3;1
ambisi;-2;1
amoral;-5;1
anarki;-5;1
anarkis;-5;1
ancaman;-5;1
aneh;-2;1
anggun;4;1
angkuh;-5;1
anjing;-4;1
anomali;-3;1
antagoni;-4;1
anti-sosial;-4;1
antipati;-5;1
apes;-4;1
api;-1;1
arogan;-5;1
asam;-1;1
asap;-2;1
asing;-4;1
asli;4;1
asmara;4;1
astaga;-5;1
asyik;4;1
autentik;4;1
aversi;-4;1
awas;-4;1
awur;-4;1
ayam;1;1
ayu;4;1
azab;-5;1
babu;-5;1
bacot;-5;1
badai;-4;1
badut;-2;1
bagus;4;1
bahagia;4;1
bahaya;-4;1
baik;4;1
bail;-2;1
bajingan;-5;1
bakat;3;1
banci;-4;1
bandel;-4;1
bandit;-4;1
bangga;4;1
bangkrut;-5;1
banjir;-4;1
barbari;-5;1
basi;-4;1
batu;-1;1
bau;-4;1
baut;1;1
bawaan;-1;1
bawah;-1;1
bayaran;-3;1
beban;-2;1
bego;-5;1
bekas;-4;1
bekicot;-4;1
belahan;-1;1
benar;4;1
bencana;-4;1
benci;-5;1
bencong;-5;1
bendahara;-1;1
bengkok;-2;1
bening;3;1
bentrok;-4;1
beradab;5;1
beradaptasi;4;1
beragam;4;1
berani;4;1
berantakan;-4;1
berapi-api;1;1
berarti;3;1
berat;-2;1
berbagi;5;1
berbahaya;-4;1
berbakat;5;1
berbalik;1;1
berbaring;1;1
berbeda;1;1
berbisa;-4;1
berbohong;-5;1
berbuih;-1;1
bercanda;3;1
bercinta;4;1
berdalih;-3;1
berdarah;-2;1
berdaya;4;1
berdetak;1;1
berdosa;-4;1
berduka;-4;1
berduri;-2;1
bergembira;4;1
bergeming;-1;1
bergerak;4;1
bergulat;-2;1
bergumam;1;1
berguna;4;1
berharap;-1;1
berharga;4;1
berhasil;5;1
berhenti;-1;1
berisiko;-2;1
berjanji;-1;1
berjuang;4;1
berjudi;-5;1
